0,	83.7918,	86.4764,	86.4764	86.4764	86.4764	86.4764	86.4763	
1,	83.7918,	86.4764,	86.4764	86.4764	86.4764	86.4764	86.4763	
2,	83.7918,	86.4764,	86.4764	86.4764	86.4764	86.4763	86.3936	
3,	83.7918,	86.4764,	86.4764	86.4764	86.4743	86.4115	85.765	
4,	83.7918,	86.4764,		86.4762	86.3789	86.111	84.6697	
5,	83.7918,	86.4764,		86.4347	86.0451	85.3534	83.6562	
6,	83.7918,	86.4764,			85.2578	84.7736	83.2344	
7,	83.7918,	86.4764,			85.2217	83.7688	82.9884	
8,	83.7918,	86.4764,			84.2068	83.9245	82.8869	
9,	83.7918,	86.4764,				83.2609	82.8983	
10,	83.7918,	86.4764,				83.028	82.7841	
11,	83.7918,	86.4764,					82.7841	
12,	83.7918,	86.4764,					82.7841	
13,	83.7918,	86.4764,					82.7841	
14,	83.7918,	86.4764,						
15,	83.7918,	86.4764,						
